glyph,description
ia,LATIN SMALL LETTER I and LATIN SMALL LETTER A
iau,LATIN SMALL LETTER I and LATIN SMALL LETTER A and LATIN SMALL LETTER U
iaː,LATIN SMALL LETTER I and LATIN SMALL LETTER A and MODIFIER LETTER TRIANGULAR COLON
iã,LATIN SMALL LETTER I and LATIN SMALL LETTER A and COMBINING TILDE
ia̟,LATIN SMALL LETTER I and LATIN SMALL LETTER A and COMBINING PLUS SIGN BELOW
ie,LATIN SMALL LETTER I and LATIN SMALL LETTER E
ieː,LATIN SMALL LETTER I and LATIN SMALL LETTER E and MODIFIER LETTER TRIANGULAR COLON
iẽ,LATIN SMALL LETTER I and LATIN SMALL LETTER E and COMBINING TILDE
ie̞,LATIN SMALL LETTER I and LATIN SMALL LETTER E and COMBINING DOWN TACK BELOW
io,LATIN SMALL LETTER I and LATIN SMALL LETTER O
iou,LATIN SMALL LETTER I and LATIN SMALL LETTER O and LATIN SMALL LETTER U
ioː,LATIN SMALL LETTER I and LATIN SMALL LETTER O and MODIFIER LETTER TRIANGULAR COLON
io̞,LATIN SMALL LETTER I and LATIN SMALL LETTER O and COMBINING DOWN TACK BELOW
iu,LATIN SMALL LETTER I and LATIN SMALL LETTER U
iæ,LATIN SMALL LETTER I and LATIN SMALL LETTER AE
iɔ,LATIN SMALL LETTER I and LATIN SMALL LETTER OPEN O
iə,LATIN SMALL LETTER I and LATIN SMALL LETTER SCHWA
iɛ,LATIN SMALL LETTER I and LATIN SMALL LETTER OPEN E
iɛː,LATIN SMALL LETTER I and LATIN SMALL LETTER OPEN E and MODIFIER LETTER TRIANGULAR COLON
iɨ,LATIN SMALL LETTER I and LATIN SMALL LETTER I WITH STROKE
iʊ,LATIN SMALL LETTER I and LATIN SMALL LETTER UPSILON
iʌ,LATIN SMALL LETTER I and LATIN SMALL LETTER TURNED V
iʰ,aspirated voiced unrounded close front vowel
iˀ,voiced glottalized unrounded close front vowel
iː,long voiced unrounded close front vowel
iːe,LATIN SMALL LETTER I and MODIFIER LETTER TRIANGULAR COLON and LATIN SMALL LETTER E
iːɛ,LATIN SMALL LETTER I and MODIFIER LETTER TRIANGULAR COLON and LATIN SMALL LETTER OPEN E
iˑ,half-long voiced unrounded close front vowel
iˠ,voiced velarized unrounded close front vowel
iˤ,voiced pharyngealized unrounded close front vowel
iˤː,long voiced pharyngealized unrounded close front vowel
ĩ,voiced nasalized unrounded close front vowel
ĩẽ̞,LATIN SMALL LETTER I and COMBINING TILDE and LATIN SMALL LETTER E and COMBINING DOWN TACK BELOW and COMBINING TILDE
ĩə,LATIN SMALL LETTER I and COMBINING TILDE and LATIN SMALL LETTER SCHWA
ĩː,long voiced nasalized unrounded close front vowel
ĩˠ,voiced nasalized velarized unrounded close front vowel
ĭ,extra-short voiced unrounded close front vowel
ï,voiced centralized unrounded close front vowel
i̘,voiced advanced-tongue-root unrounded close front vowel
i̙,voiced retracted-tongue-root unrounded close front vowel
i̙ː,long voiced retracted-tongue-root unrounded close front vowel
i̜,LATIN SMALL LETTER I and COMBINING LEFT HALF RING BELOW
i̞,voiced lowered unrounded close front vowel
i̞ː,long voiced lowered unrounded close front vowel
i̤,breathy unrounded close front vowel
i̤a,LATIN SMALL LETTER I and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER A
i̤a̤,LATIN SMALL LETTER I and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER A and COMBINING DIAERESIS BELOW
i̤ṳ,LATIN SMALL LETTER I and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER U and COMBINING DIAERESIS BELOW
