ipa,occurences,consonant,vowel,mod_consonant,mod_vowel,click
ḍ,161,1,0,0,0,0
pʷ,5,1,0,0,0,0
kː,2,1,0,0,0,0
ṭˀ,14,1,0,0,0,0
p,1843,1,0,0,0,0
q,236,1,0,0,0,0
ᵑk,4,1,0,0,0,0
G,23,1,0,0,0,0
t,2035,1,0,0,0,0
ɡ,1225,1,0,0,0,0
ɡbʷ,2,1,0,0,0,0
kpʷ,2,1,0,0,0,0
ͫpʰ,3,1,0,0,0,0
Gʷ,2,1,0,0,0,0
pˀ,154,1,0,0,0,0
ᵈtʰ,2,1,0,0,0,0
bd,1,1,0,0,0,0
ɡˀ,1,1,0,0,0,0
ɓʷ,2,1,0,0,0,0
ᵑkʰ,1,1,0,0,0,0
ḍː,1,1,0,0,0,0
ṭʰ,75,1,0,0,0,0
d̪̤,1,1,0,0,0,0
ʔ˜,1,1,0,0,0,0
ɡʲ,3,1,0,0,0,0
t̯ʰ,1,1,0,0,0,0
t̪ˀ,1,1,0,0,0,0
kʲ,14,1,0,0,0,0
cː,2,1,0,0,0,0
t̪ʰ,2,1,0,0,0,0
bᵚ,1,1,0,0,0,0
tʱ,1,1,0,0,0,0
cʰ,34,1,0,0,0,0
ʔʲ,1,1,0,0,0,0
ⁿd̪,1,1,0,0,0,0
ᵑɡʷ,6,1,0,0,0,0
ɡ̤ʷ,0,1,0,0,0,0
qˀ,101,1,0,0,0,0
ɡː,1,1,0,0,0,0
kˣˀ,2,1,0,0,0,0
ˀɗ̣,1,1,0,0,0,0
ˀt̪ʰ,2,1,0,0,0,0
t̪ʷ,1,1,0,0,0,0
kᵚ,1,1,0,0,0,0
ɗ,106,1,0,0,0,0
kˀʲ,1,1,0,0,0,0
ɡ̰,1,1,0,0,0,0
kˀʷ,55,1,0,0,0,0
pt,1,1,0,0,0,0
qʷ,45,1,0,0,0,0
bɗ,0,1,0,0,0,0
ⁿ̯d̯,1,1,0,0,0,0
ⁿɾ,1,1,0,0,0,0
ř,3,1,0,0,0,0
ṛ,57,1,0,0,0,0
ɾ̌,1,1,0,0,0,0
v̊,14,1,0,0,0,0
rˀ,1,1,0,0,0,0
B,6,1,0,0,0,0
ɾ̣,77,1,0,0,0,0
r,1077,1,0,0,0,0
ɾ˜,3,1,0,0,0,0
ɹ,22,1,0,0,0,0
